"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"214053528020004","196516325020004",2002,66,1,10,66019,1,1,,1,24,20,,,987,987,1,50,2,2,6,,,,0,,"SUBP",1,1,1,,0,0,,3,3,0,,,,,,0,,,,,,,112.9159,50,57.2136,57.2136,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053541020004","196516300020004",2002,66,1,10,66020,1,1,,0,46,40,,,985,985,1,2,3,1,6,,,,0,,"SUBP",.487358,.5,.487358,,0,0,,1,1,0,,,,,,10,1999,0,,,,,6.0265,2,100.9953,100.9953,985,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053540020004","196516300020004",2002,66,1,10,66020,2,1,,0,46,40,,,985,985,1,30,3,2,6,,,,0,,"SUBP",.262642,.25,.262642,,0,0,,1,1,0,,,,,,10,1999,0,,,,,150.1079,30,104.7211,104.7211,985,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053542020004","196516300020004",2002,66,1,10,66020,3,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.25,.25,.25,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-30,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053549020004","196516277020004",2002,66,1,10,66021,1,2,,0,32,30,,,,,,,,,,,,,,,"SUBP",.572619,.590823,.572619,,,,,,,,,,,,,,,,,,,20,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-07-23,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053548020004","196516277020004",2002,66,1,10,66021,2,1,,0,32,30,,,985,985,1,10,3,1,6,,,,0,,"SUBP",.427381,.409177,.427381,,0,0,,2,2,0,,,,,,0,,,,,,,62.754,10,76.6655,76.6655,985,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-23,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053581020004","196516293020004",2002,66,1,10,66024,1,2,,0,24,20,,,,,,,,,,,,,,,"SUBP",.75,.75,.75,,,,,,,,,,,,,,,,,,,32,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053582020004","196516293020004",2002,66,1,10,66024,2,1,,0,24,20,,,987,987,1,30,3,1,6,,,,0,,"SUBP",.25,.25,.25,,0,0,,1,1,0,,,,,,0,,,,,,,52.9039,30,120.0004,120.0004,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053543020004","196516304020004",2002,66,1,10,66025,1,2,,0,24,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053520020004","196516299020004",2002,66,1,10,66026,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.711,.75,.711,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053519020004","196516299020004",2002,66,1,10,66026,2,1,,0,46,40,,,985,985,1,5,3,1,6,,,,0,,"SUBP",.289,.25,.289,,0,0,,3,3,0,,,,,,0,,,,,,,1.6354,5,50.4475,50.4475,985,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053525020004","196516278020004",2002,66,1,10,66028,1,1,,0,32,30,,,987,987,1,30,2,2,6,,,,0,,"SUBP",.608697,.476738,.608697,,0,0,,3,3,0,,,,,,0,,,,,,,85.1377,30,43.4992,43.4992,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053524020004","196516278020004",2002,66,1,10,66028,2,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.391303,.523262,.391303,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053574020004","196516279020004",2002,66,1,10,66029,1,4,,0,31,30,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053507020004","196516292020004",2002,66,1,10,66033,1,1,,0,46,40,,,987,987,1,0,5,1,6,,,,0,,"SUBP",1,1,1,,0,0,,5,5,0,,,,,,0,,,,,,,1.1816,20,9.7196,9.7196,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053515020004","196516296020004",2002,66,1,10,66034,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.548875,.687902,.548875,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053514020004","196516296020004",2002,66,1,10,66034,2,1,,0,32,30,,,987,987,1,15,3,1,6,,,,0,,"SUBP",.451125,.312098,.451125,,0,0,,1,1,0,,,,,,0,,,,,,,66.4439,15,120,120,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053609020004","196516295020004",2002,66,1,10,66035,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053602020004","196516291020004",2002,66,1,10,66040,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.952337,1,.952337,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053603020004","196516291020004",2002,66,1,10,66040,2,1,,0,46,40,,,987,987,1,10,2,2,6,,,,0,,"SUBP",.047663,0,.047663,,0,0,,5,5,0,,,,,,0,,,,,,,0,10,0,0,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053505020004","196516294020004",2002,66,1,10,66042,1,4,,0,31,30,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053607020004","196516290020004",2002,66,1,10,66043,1,2,,0,32,30,,,,,,,,,,,,,,,"SUBP",.913124,.847503,.913124,,,,,,,,,,,,,,,,,,,20,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-30,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053608020004","196516290020004",2002,66,1,10,66043,2,1,,0,32,30,,,987,987,1,5,3,1,6,,,,0,,"SUBP",.086876,.152497,.086876,,20,14,,1,1,0,,,,,,0,,,,,,,82.3369,5,120.0001,120.0001,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053595020004","196516310020004",2002,66,1,10,66044,1,1,,0,46,40,,,987,987,1,30,2,2,6,,,,0,,"SUBP",.5,.5,.5,,0,0,,3,3,0,,,,,,0,,,,,,,60.8795,30,36.2025,36.2025,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
