,FIA_latin,SPCD,QUEBEC_NAME,COMMON_NAME,GENUS,SPECIES,MERGED,SILVICS,SUCCESSIONAL_ID,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,FIA_genus,Species,Aggregate.species,Data.set.1,Data.set.2,Evergreen,Gymnosperm,Shade.tolerance,Drought.tolerance,Waterlogging.tolerance,Niinemets_genus,ContinuumRank
171,aesculus sylvatica,337,,painted buckeye,Aesculus,sylvatica,1,NA,1,,,AESY,41,47,3,27,101,,,,,X,,H,,,,,,E,,,2,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.33,25,0.5,25,89,25,143,25,0.36,25,15,25,0.12766,0.91979,0.12152,aesculus,Aesculus sylvatica,N,North America,North America,N,N,3.56,2,2,aesculus,
172,ailanthus altissima,341,,ailanthus,Ailanthus,altissima,0.25,0.25,0,,,AIAL,43,47,4,25,146,X,X,X,,X,,H,,,,,,E,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.46,11,0.45,22,78.06667,22,74.19565,22,0.53,11,15,21,0.12766,0.91979,0.12152,ailanthus,Ailanthus altissima,N,East Asia,East Asia,N,N,2.44,2.96,1.52,ailanthus,
173,albizia julibrissin,345,,"mimosa, silktree",Albizia,julibrissin,0.5,NA,0.5,,,ALJU,43,43,3,36,146,X,X,,,X,,H,,,,,,E,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,albizia,Albizia julibrissin,N,East Asia,East Asia,N,N,1.17,4.47,1.52,albizia,
174,alnus rubra,351,,red alder,Alnus,rubra,0.25,0.25,0,,,ALRU2,45,45,3,26,131,,,X,X,X,X,H,,,X,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74995,0.37,1,0.56,9,74.57143,18,99.24324,5,0.41,1,12,27,0.09658,0.91882,0.08593,alnus,Alnus rubra,N,North America,North America,N,N,1.83,2.5,2.56,alnus,
175,alnus rhombifolia,352,,white alder,Alnus,rhombifolia,0,NA,0,,,ALRH2,47,47,3,26,131,,,X,X,,,H,,,,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.37,24,0.56,24,75,24,99,24,0.41,24,11.49,24,0.09658,0.91882,0.08593,alnus,Alnus rhombifolia,N,North America,North America,N,N,1.5,1,3.5,alnus,
176,alnus oblongifolia,353,,Arizona alder,Alnus,oblongifolia,0,NA,0,,,ALOB2,43,47,3,37,221,,,X,X,X,,H,,,,X,,,W,,2,NA,NA,2/24/2005,333,NA,8/10/2009,440,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.37,24,0.56,24,75,24,99,24,0.41,24,11.49,24,0.09658,0.91882,0.08593,alnus,Alnus oblongifolia,N,North America,North America,N,N,1,1,3,alnus,
177,alnus glutinosa,355,,European alder,Alnus,glutinosa,0.25,0.25,0,,,ALGL2,41,47,3,26,146,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.37,24,0.56,24,75,24,99,24,0.41,24,11.49,24,0.09658,0.91882,0.08593,alnus,Alnus glutinosa,N,Europe,Europe,N,N,2.71,2.22,3.9,alnus,
178,amelanchier arborea,357,,common serviceberry,Amelanchier,arborea,0.5,NA,0.5,,,AMAR3,43,48,4,37,221,X,X,,,,,H,,,,,,E,W,,2,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.66,24,0.5,24,60,24,48,24,0.79,24,8.62,24,0.12766,0.91979,0.12152,amelanchier,Amelanchier arborea,N,North America,North America,N,N,4.33,2.38,3.5,amelanchier,
179,arbutus menziesii,361,,Pacific madrone,Arbutus,menziesii,0.5,0.5,1,,,ARME,47,47,4,37,132,,,X,X,,,H,,,,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.58,11,0.6,1,60.25,22,65.77586,9,0.65,11,15,21,0.12766,0.91979,0.12152,arbutus,Arbutus menziesii,N,North America,North America,Y,N,3.32,3.83,1,arbutus,
180,asimina triloba,367,,pawpaw,Asimina,triloba,0.5,NA,0.5,,,ASTR,43,43,3,25,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,asimina,Asimina triloba,N,North America,North America,N,N,3.95,2,1.37,asimina,
181,betula alleghaniensis,371,,yellow birch,Betula,alleghaniensis,0.5,0.5,0.5,,,BEAL2,30,30,4,27,98,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.78859,0.55,1,0.62,3,60.25806,22,71.90909,1,0.62,1,9.8,27,0.11585,0.94181,0.1074,betula,Betula alleghaniensis,N,North America,North America,N,N,3.17,3,2,betula,
182,betula lenta,372,,sweet birch,Betula,lenta,0.25,0.25,0,,,BELE,42,42,4,27,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93185,0.6,1,0.62,22,52.5,11,73,1,0.65,1,9.8,21,0.11585,0.94181,0.1074,betula,Betula lenta,N,North America,North America,N,N,2.58,3,1,betula,
183,betula nigra,373,,river birch,Betula,nigra,0.25,0.25,0,,,BENI,41,41,3,28,129,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.49,11,0.55,22,45.69091,22,86.42857,22,0.56,11,9.8,21,0.11585,0.94181,0.1074,betula,Betula nigra,N,North America,North America,N,N,1.45,1.53,2.85,betula,
184,betula occidentalis,374,,water birch,Betula,occidentalis,0.5,NA,0.5,,,BEOC2,41,47,3,28,221,X,,X,X,X,,H,,,,X,,E,W,,1.7,NA,NA,2/24/2005,333,NA,3/20/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.51,24,0.58,24,54.8,24,73.8,24,0.58,24,10.98,24,0.11585,0.94181,0.1074,betula,Betula occidentalis,N,North America,North America,N,N,3.28,1.27,2.63,betula,
185,betula papyrifera,375,BOP,paper birch,Betula,papyrifera,0.25,0.25,0,,,BEPA,41,47,3,28,99,X,X,X,X,X,X,H,X,X,X,X,,E,W,,1.7,NA,NA,2/24/2005,333,NA,8/10/2009,440,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.48,1,0.56,5,51.67857,18,73.60417,1,0.55,1,12.6,28,0.11585,0.94181,0.1074,betula,Betula papyrifera,N,North America,North America,N,N,1.54,2.02,1.25,betula,
186,betula populifolia,379,BOG,gray birch,Betula,populifolia,0,NA,0,,,BEPO,41,41,3,28,224,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.45,11,0.55,22,63.16364,11,63.82222,5,0.51,11,12.6,21,0.11585,0.94181,0.1074,betula,Betula populifolia,N,North America,North America,N,N,1.5,2.34,1,betula,
187,carpinus caroliniana,391,CAR,"American hornbeam, musclewood",Carpinus,caroliniana,1,1,1,,,CACA18,43,43,4,25,101,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.58,11,0.55,22,89.4,22,46.44828,9,0.7,11,8.6,21,0.12766,0.91979,0.12152,carpinus,Carpinus caroliniana,N,North America,North America,N,N,4.58,2.02,2.3,carpinus,8
188,carya aquatica,401,,water hickory,Carya,aquatica,0.5,0.5,0.5,,,CAAQ2,29,29,4,29,90,X,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74366,0.61,1,0.6,6,60.25,22,83.90164,1,0.62,1,16,21,0.12798,0.92267,0.12506,carya,Carya aquatica,N,North America,North America,N,N,2.95,2,4.25,carya,
189,carya cordiformis,402,CAC,bitternut hickory,Carya,cordiformis,0.25,0.25,0,,,CACO15,29,29,4,29,92,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74366,0.6,1,0.6,8,60.25,22,70.93333,1,0.66,1,16,21,0.12798,0.92267,0.12506,carya,Carya cordiformis,N,North America,North America,N,N,2.07,4,2.5,carya,8.5
190,carya glabra,403,,pignut hickory,Carya,glabra,0.5,0.5,0.5,,,CAGL8,29,29,4,29,92,X,X,,,X,,H,X,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74366,0.66,1,0.6,8,60.25,22,65.10606,5,0.75,1,16,21,0.12798,0.92267,0.12506,carya,Carya glabra,N,North America,North America,N,N,2.69,4,1.16,carya,
191,carya laciniosa,405,,shellbark hickory,Carya,laciniosa,1,1,1,,,CALA21,29,29,4,29,90,X,X,,,X,,H,X,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74366,0.62,1,0.6,6,60.25,22,65.41935,5,0.69,1,16,21,0.12798,0.92267,0.12506,carya,Carya laciniosa,N,North America,North America,N,N,4.42,2,1.48,carya,
192,carya myristiciformis,406,,nutmeg hickory,Carya,myristiciformis,0,NA,0,,,CAMY,29,29,4,29,92,,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74366,0.56,1,0.6,6,60.25,22,77.42857,16,0.6,1,16,21,0.12798,0.92267,0.12506,carya,Carya myristiciformis,N,North America,North America,N,N,3.71,2,2,carya,
193,carya ovata,407,CAF,shagbark hickory,Carya,ovata,0.5,0.5,0.5,,,CAOV2,29,29,4,29,92,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74366,0.64,1,0.72,5,33.54167,22,60.25,5,0.72,1,16,21,0.12798,0.92267,0.12506,carya,Carya ovata,N,North America,North America,N,N,3.4,3,1.38,carya,3.5
194,carya pallida,410,,sand hickory,Carya,pallida,0,NA,0,,,CAPA24,29,29,4,29,92,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.74366,0.62,24,0.62,24,56.74,24,68.88,24,0.68,24,16,24,0.12798,0.92267,0.12506,carya,Carya pallida,N,North America,North America,N,N,1.56,4,1,carya,
195,castanea dentata,421,,American chestnut,Castanea,dentata,0.5,NA,0.5,,,CADE12,43,43,3,25,101,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.4,1,0.5,6,89.1,22,120.35,1,0.43,1,15,21,0.12766,0.91979,0.12152,castanea,Castanea dentata,N,North America,North America,N,N,3.06,3,1,castanea,
196,castanea pumila,423,,Ozark chinkapin,Castanea,pumila,0.5,NA,0.5,ozarkensis,,CAPUO,43,43,3,29,221,X,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.4,25,0.5,25,89,25,120,25,0.43,25,15,25,0.12766,0.91979,0.12152,castanea,Castanea pumila,N,North America,North America,N,N,2.5,4,1,castanea,
197,castanea pumila,422,,Allegheny chinkapin,Castanea,pumila,0.5,NA,0.5,,,CAPU9,43,43,3,29,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.4,25,0.5,25,89,25,120,25,0.43,25,15,25,0.12766,0.91979,0.12152,castanea,Castanea pumila,N,North America,North America,N,N,2.5,4,1,castanea,
198,castanea mollissima,424,,Chinese chestnut,Castanea,mollissima,0.5,NA,0.5,,,CAMO83,43,47,3,37,146,X,X,,,X,,H,,,,,,E,W,,2,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.4,25,0.5,25,89,25,120,25,0.43,25,15,25,0.12766,0.91979,0.12152,castanea,Castanea mollissima,N,East Asia,East Asia,N,N,1.67,2.63,1.27,castanea,
199,catalpa bignonioides,451,,southern catalpa,Catalpa,bignonioides,0,NA,0,,,CABI8,43,43,4,27,221,X,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.38,25,0.5,25,89,25,73,25,0.41,25,15,25,0.12766,0.91979,0.12152,catalpa,Catalpa bignonioides,N,North America,North America,N,N,2.67,2.58,1.27,catalpa,
200,catalpa speciosa,452,,northern catalpa,Catalpa,speciosa,0,NA,0,,,CASP8,41,41,3,27,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.38,11,0.5,22,89.1,22,72.92105,9,0.41,11,15,21,0.12766,0.91979,0.12152,catalpa,Catalpa speciosa,N,North America,North America,N,N,2.33,4.22,1.27,catalpa,
201,celtis laevigata,461,,sugarberry,Celtis,laevigata,0.5,NA,0.5,,,CELA,41,47,3,36,100,X,X,,X,X,,H,,,,X,,E,W,,1.7,NA,NA,2/24/2005,333,NA,3/20/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.49,25,0.49,25,90,25,64,25,0.53,25,15,25,0.12766,0.91979,0.12152,celtis,Celtis laevigata,N,North America,North America,N,N,3.31,3.56,2.73,celtis,
202,celtis laevigata,463,,netleaf hackberry,Celtis,laevigata,0.75,0.75,0.5,reticulata,,CELAR,41,41,3,36,115,X,,,,X,,H,,,,,,E,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.49,25,0.49,25,90,25,64,25,0.53,25,15,25,0.12766,0.91979,0.12152,celtis,Celtis laevigata,N,North America,North America,N,N,3.31,3.56,2.73,celtis,
203,celtis occidentalis,462,CEO,hackberry,Celtis,occidentalis,0.5,0.5,0.5,,,CEOC,41,47,3,36,115,X,X,,X,X,X,H,X,X,,X,,E,W,,1.7,NA,NA,2/24/2005,333,NA,3/20/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.49,1,0.49,8,89.69388,22,63.53061,16,0.53,1,15,32,0.12766,0.91979,0.12152,celtis,Celtis occidentalis,N,North America,North America,N,N,3.17,3.85,2.65,celtis,8
204,cercis canadensis,471,,eastern redbud,Cercis,canadensis,0.75,0.75,0.5,,,CECA4,43,43,3,25,101,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,cercis,Cercis canadensis,N,North America,North America,N,N,3,4.05,1.31,cercis,
205,cercocarpus ledifolius,475,,curlleaf mountain-mahogany,Cercocarpus,ledifolius,0.5,NA,0.5,,,CELE3,48,48,4,38,156,,,X,X,X,,H,,,,,,,W,X,1.7,NA,NA,2/24/2005,333,NA,8/10/2009,440,N,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12798,0.92267,0.12506,cercocarpus,Cercocarpus ledifolius,N,North America,North America,Y,N,1.35,4.97,1.27,cercocarpus,
206,cornus florida,491,,flowering dogwood,Cornus,florida,1,1,1,,,COFL2,42,42,4,25,101,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93185,0.64,11,0.58,22,90.65517,22,32.71875,22,0.73,11,15,21,0.12766,0.91979,0.12152,cornus,Cornus florida,N,North America,North America,N,N,4.87,2.92,1.1,cornus,
207,cornus nuttallii,492,,Pacific dogwood,Cornus,nuttallii,1,NA,1,,,CONU4,47,47,4,26,221,,,X,X,X,,H,,,,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.58,15,0.58,15,90.65517,22,46.44828,22,0.62,21,15,21,0.12766,0.91979,0.12152,cornus,Cornus nuttallii,N,North America,North America,N,N,4.5,2,1,cornus,
208,diospyros virginiana,521,,common persimmon,Diospyros,virginiana,1,1,1,,,DIVI5,42,42,4,29,93,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93185,0.64,9,0.5,22,89.1,22,57.75,9,0.74,9,15,21,0.12766,0.91979,0.12152,diospyros,Diospyros virginiana,N,North America,North America,N,N,4.21,1.5,2.6,diospyros,
209,fagus grandifolia,531,HEG,American beech,Fagus,grandifolia,1,1,1,,,FAGR,33,33,4,27,102,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.63243,0.56,1,0.67,5,88.95522,22,54.53571,5,0.64,1,6,34,0.12798,0.92267,0.12506,fagus,Fagus grandifolia,N,North America,North America,N,N,4.75,1.5,1.5,fagus,
210,fraxinus americana,541,FRA,white ash,Fraxinus,americana,0.25,0.25,0.5,,,FRAM2,36,36,4,33,103,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93622,0.55,1,0.5,5,89.1,22,45.69091,1,0.6,1,16,21,0.12766,0.91979,0.12152,fraxinus,Fraxinus americana,N,North America,North America,N,N,2.46,2.38,2.59,fraxinus,7.5
211,fraxinus latifolia,542,,Oregon ash,Fraxinus,latifolia,0.5,0.5,0.5,,,FRLA,47,47,4,33,135,,,X,,,,H,,,,,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.5,1,0.5,6,89.1,22,60.26,22,0.55,1,16,21,0.12766,0.91979,0.12152,fraxinus,Fraxinus latifolia,N,North America,North America,N,N,3,2,3,fraxinus,
212,fraxinus nigra,543,FRN,black ash,Fraxinus,nigra,0.25,0.25,0.5,,,FRNI,36,36,3,33,104,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93622,0.45,1,0.43,3,90.06977,22,85.17778,5,0.49,1,16,21,0.12766,0.91979,0.12152,fraxinus,Fraxinus nigra,N,North America,North America,N,N,2.96,2,3.5,fraxinus,
213,fraxinus pennsylvanica,544,FRP,green ash,Fraxinus,pennsylvanica,0.75,0.75,0.5,,,FRPE,36,47,4,36,105,X,X,,X,X,X,H,X,X,,X,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93622,0.53,1,0.48,5,70.27083,13,57.22642,16,0.56,1,16,33,0.12766,0.91979,0.12152,fraxinus,Fraxinus pennsylvanica,N,North America,North America,N,N,3.11,3.85,2.98,fraxinus,
214,fraxinus profunda,545,,pumpkin ash,Fraxinus,profunda,0.5,0.5,0.5,,,FRPR,36,36,3,33,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93622,0.48,11,0.45,22,88.75556,22,66.9375,22,0.52,11,16,21,0.12766,0.91979,0.12152,fraxinus,Fraxinus profunda,N,North America,North America,N,N,3,2,5,fraxinus,
215,fraxinus quadrangulata,546,,blue ash,Fraxinus,quadrangulata,0.5,NA,0.5,,,FRQU,36,36,4,33,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93622,0.53,1,0.39,6,89.02564,22,51.18868,22,0.58,1,16,21,0.12766,0.91979,0.12152,fraxinus,Fraxinus quadrangulata,N,North America,North America,N,N,1.84,2.75,1.53,fraxinus,
216,fraxinus velutina,547,,velvet ash,Fraxinus,velutina,0.5,NA,0.5,,,FRVE2,47,47,4,33,221,,,X,X,X,,H,,,,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,10/9/2009,440,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.51,24,0.46,24,86,24,61,24,0.55,24,16,24,0.12766,0.91979,0.12152,fraxinus,Fraxinus velutina,N,North America,North America,N,N,2.5,3.35,1.77,fraxinus,
217,fraxinus caroliniana,548,,Carolina ash,Fraxinus,caroliniana,0.5,NA,0.5,,,FRCA3,36,36,4,33,221,,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93622,0.51,24,0.46,24,86,24,61,24,0.55,24,16,24,0.12766,0.91979,0.12152,fraxinus,Fraxinus caroliniana,N,North America,North America,N,N,3.5,2,5,fraxinus,
218,gleditsia aquatica,551,,waterlocust,Gleditsia,aquatica,0.5,NA,0.5,,,GLAQ,42,42,4,25,151,X,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93185,0.6,25,0.5,25,89,25,60,25,0.65,25,15,25,0.12766,0.91979,0.12152,gleditsia,Gleditsia aquatica,N,North America,North America,N,N,2,2,4.38,gleditsia,
