,FIA_latin,SPCD,QUEBEC_NAME,COMMON_NAME,GENUS,SPECIES,MERGED,SILVICS,SUCCESSIONAL_ID,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,FIA_genus,Species,Aggregate.species,Data.set.1,Data.set.2,Evergreen,Gymnosperm,Shade.tolerance,Drought.tolerance,Waterlogging.tolerance,Niinemets_genus,ContinuumRank
141,pseudotsuga macrocarpa,201,,bigcone Douglas-fir,Pseudotsuga,macrocarpa,0.25,0.25,0,,,PSMA,10,10,2,15,30,,,X,,,X,S,,,X,,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,2,-2.2304,2.4435,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.45,24,0.44,24,89,24,35,24,0.48,24,17.34,24,0.12667,0.914,0.11975,pseudotsuga,Pseudotsuga macrocarpa,N,North America,North America,Y,Y,2.5,4,1,pseudotsuga,
142,pseudotsuga menziesii,202,,Douglas-fir,Pseudotsuga,menziesii,0.5,0.5,0.5,,,PSME,9,10,2,15,31,X,X,X,X,X,X,S,,,X,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,8/10/2009,440,Y,2,-2.2304,2.4435,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.52566,0.45,1,0.44,9,89.38636,12,35.33333,4,0.48,1,17.3,27,0.12667,0.914,0.11975,pseudotsuga,Pseudotsuga menziesii,N,North America,North America,Y,Y,2.78,2.62,1.79,pseudotsuga,
143,sequoia sempervirens,211,,redwood,Sequoia,sempervirens,1,1,1,,,SESE3,16,16,2,19,32,,,X,,,X,S,,,X,,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.40997,0.36,1,0.43,3,15.53488,7,122.58333,4,0.38,1,18,30,0.12667,0.914,0.11975,sequoia,Sequoia sempervirens,N,North America,North America,Y,Y,4.21,2,0.95,sequoia,
144,sequoiadendron giganteum,212,,giant sequoia,Sequoiadendron,giganteum,0,0,1,,,SEGI2,24,24,2,19,33,,,X,,,,S,,,,,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.34,7,0.34,7,17.82353,22,178.08824,7,0.38,21,18,21,0.12667,0.914,0.11975,sequoiadendron,Sequoiadendron giganteum,N,North America,North America,Y,Y,3.05,2.88,1.27,sequoiadendron,
145,taxodium distichum,221,,baldcypress,Taxodium,distichum,0.5,0.5,0.5,,,TADI2,8,8,2,31,61,X,X,,,X,,S,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.95175,0.42,1,0.5,3,98.72,22,94.59524,16,0.46,1,20,33,0.12667,0.914,0.11975,taxodium,Taxodium distichum,N,North America,North America,N,Y,2.13,3.25,4.93,taxodium,
146,taxus brevifolia,231,,Pacific yew,Taxus,brevifolia,1,1,1,,,TABR2,24,24,2,18,40,,,X,X,,X,S,,,X,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.6,12,0.59,7,98.28814,7,46.9,7,0.67,12,4,30,0.12667,0.914,0.11975,taxus,Taxus brevifolia,N,North America,North America,Y,Y,4.86,2.5,1,taxus,
147,thuja occidentalis,241,THO,northern white-cedar,Thuja,occidentalis,1,NA,1,,,THOC2,9,9,2,16,60,X,X,,,X,X,S,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.29,1,0.42,3,90.78571,22,98.93103,8,0.31,1,14,35,0.12667,0.914,0.11975,thuja,Thuja occidentalis,N,North America,North America,Y,Y,3.45,2.71,1.46,thuja,
148,thuja plicata,242,,western redcedar,Thuja,plicata,1,1,1,,,THPL,22,22,2,18,11,,,X,X,,X,S,,,X,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.7049,0.31,1,0.37,4,55.91892,18,39.58065,4,0.32,1,10.6,27,0.12667,0.914,0.11975,thuja,Thuja plicata,N,North America,North America,Y,Y,4.73,2.23,1.01,thuja,
149,torreya californica,251,,California torreya (nutmeg),Torreya,californica,1,NA,1,,,TOCA,24,24,2,18,40,,,X,,,,S,,,,,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.41,26,0.42,26,70.5,26,74.29,26,0.44,26,14.31,26,0.12667,0.914,0.11975,torreya,Torreya californica,N,North America,North America,Y,Y,5,2,1,torreya,
150,torreya taxifolia,252,,Florida torreya (nutmeg),Torreya,taxifolia,0.75,0.75,1,,,TOTA,9,9,2,18,39,,,,,X,,S,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.41,26,0.42,26,70.5,26,74.29,26,0.44,26,14.31,26,0.12667,0.914,0.11975,torreya,Torreya taxifolia,N,North America,North America,Y,Y,4.5,2,1,torreya,
