"CN","PLT_CN","PREV_TRE_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","TREE","CONDID","AZIMUTH","DIST","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIAHTCD","HT","HTCD","ACTUALHT","TREECLCD","CR","CCLCD","TREEGRCD","AGENTCD","CULL","DAMLOC1","DAMTYP1","DAMSEV1","DAMLOC2","DAMTYP2","DAMSEV2","DECAYCD","STOCKING","WDLDSTEM","VOLCFNET","VOLCFGRS","VOLCSNET","VOLCSGRS","VOLBFNET","VOLBFGRS","VOLCFSND","GROWCFGS","GROWBFSL","GROWCFAL","MORTCFGS","MORTBFSL","MORTCFAL","REMVCFGS","REMVBFSL","REMVCFAL","DIACHECK","MORTYR","SALVCD","UNCRCD","CPOSCD","CLIGHTCD","CVIGORCD","CDENCD","CDIEBKCD","TRANSCD","TREEHISTCD","DIACALC","BHAGE","TOTAGE","CULLDEAD","CULLFORM","CULLMSTOP","CULLBF","CULLCF","BFSND","CFSND","SAWHT","BOLEHT","FORMCL","HTCALC","HRDWD_CLUMP_CD","SITREE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MORTCD","HTDMP","ROUGHCULL","MIST_CL_CD","CULL_FLD","RECONCILECD","PREVDIA","FGROWCFGS","FGROWBFSL","FGROWCFAL","FMORTCFGS","FMORTBFSL","FMORTCFAL","FREMVCFGS","FREMVBFSL","FREMVCFAL","P2A_GRM_FLG","TREECLCD_NERS","TREECLCD_SRS","TREECLCD_NCRS","TREECLCD_RMRS","STANDING_DEAD_CD","PREV_STATUS_CD","PREV_WDLDSTEM","TPA_UNADJ","TPAMORT_UNADJ","TPAREMV_UNADJ","TPAGROW_UNADJ","DRYBIO_BOLE","DRYBIO_TOP","DRYBIO_STUMP","DRYBIO_SAPLING","DRYBIO_WDLD_SPP","DRYBIO_BG","CARBON_AG","CARBON_BG","CYCLE","SUBCYCLE","BORED_CD_PNWRS","DAMLOC1_PNWRS","DAMLOC2_PNWRS","DIACHECK_PNWRS","DMG_AGENT1_CD_PNWRS","DMG_AGENT2_CD_PNWRS","DMG_AGENT3_CD_PNWRS","MIST_CL_CD_PNWRS","SEVERITY1_CD_PNWRS","SEVERITY1A_CD_PNWRS","SEVERITY1B_CD_PNWRS","SEVERITY2_CD_PNWRS","SEVERITY2A_CD_PNWRS","SEVERITY2B_CD_PNWRS","SEVERITY3_CD_PNWRS","UNKNOWN_DAMTYP1_PNWRS","UNKNOWN_DAMTYP2_PNWRS","PREV_PNTN_SRS","DISEASE_SRS","DIEBACK_SEVERITY_SRS","DAMAGE_AGENT_CD1","DAMAGE_AGENT_CD2","DAMAGE_AGENT_CD3","CENTROID_DIA","CENTROID_DIA_HT","CENTROID_DIA_HT_ACTUAL","UPPER_DIA","UPPER_DIA_HT","VOLCSSND","DRYBIO_SAWLOG"
"246010907489998","196516515020004","",2013,66,1,10,66084,1,238,1,206,16.8,1,1,7377,53,5.4,1,38,1,38,2,15,5,,,0,0,,,,,,,.0878,,2.70147,2.70147,,,,,2.70147,,,,,,,,,,0,,,15,,,,,,,,5.4,,,,,,,,,,,,,38,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,0,1,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,,,3,1,,,,0,,,,,,,,,,,,,,,,,,,,5,11,11,,,,
"246010908489998","196516515020004","",2013,66,1,10,66084,1,239,1,228,21.6,1,1,7377,53,5.3,1,35,1,35,2,20,3,,,0,0,,,,,,,.853,,2.612324,2.612324,,,,,2.612324,,,,,,,,,,0,,,20,,,,,,,,5.3,,,,,,,,,,,,,35,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,0,1,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,,,3,1,,,,0,,,,,,,,,,,,,,,,,,,,5,11,11,,,,
"246010909489998","196516515020004","",2013,66,1,10,66084,1,240,1,237,11,1,1,7377,53,5.4,1,38,1,38,2,20,3,,,0,3,3,2,0,,,,.8778,,2.870318,2.870318,,,,,2.870318,,,,,,,,,,0,,,20,,,,,,,,5.4,,,,,,,,,,,,,38,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,0,1,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,,,3,1,,,,0,90,,,,,,,,,,,,,,,,,,,5.1,11,11,,,,
"246010910489998","196516515020004","",2013,66,1,10,66084,1,241,1,327,23.7,1,1,7377,53,5.1,1,43,1,43,2,15,3,,,0,0,,,,,,,.8043,,2.402043,2.402043,,,,,2.402043,,,,,,,,,,0,,,15,,,,,,,,5.1,,,,,,,,,,,,,43,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,0,1,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,,,3,1,,,,0,,,,,,,,,,,,,,,,,,,,4.6,13,13,,,,
"246010911489998","196516515020004","",2013,66,1,10,66084,1,242,1,69,5.5,1,1,7412,54,1.6,1,25,3,25,2,25,5,,,,1,2,0,0,,,,.1632,,,,,,,,,,,,,,,,,,0,,,70,,,,,,,,1.6,,,,,,,,,,,,,25,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,,1,,,,,,,,,,,"",,,,,,,,74.965282,,,,,,,4.684932,,1.137158,2.342466,.568579,3,1,,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,
"246010912489998","196516515020004","",2013,66,1,10,66084,1,243,1,188,5.4,1,1,7412,54,1.3,1,24,1,24,2,10,5,,,,0,,,,,,,.1188,,,,,,,,,,,,,,,,,,0,,,15,,,,,,,,1.3,,,,,,,,,,,,,24,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,,1,,,,,,,,,,,"",,,,,,,,74.965282,,,,,,,2.711585,,.711198,1.355793,.355599,3,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"246010913489998","196516515020004","",2013,66,1,10,66084,1,244,1,187,6,1,1,7412,54,1.2,1,17,1,17,2,15,5,,,,0,,,,,,,.1051,,,,,,,,,,,,,,,,,,0,,,25,,,,,,,,1.2,,,,,,,,,,,,,17,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,,1,,,,,,,,,,,"",,,,,,,,74.965282,,,,,,,2.183124,,.595117,1.091562,.297559,3,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"246010914489998","196516515020004","",2013,66,1,10,66084,1,245,1,187,6,1,1,7412,54,1.4,1,22,1,22,2,20,5,,,,0,,,,,,,.1331,,,,,,,,,,,,,,,,,,0,,,40,,,,,,,,1.4,,,,,,,,,,,,,22,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,,1,,,,,,,,,,,"",,,,,,,,74.965282,,,,,,,3.30291,,.839954,1.651455,.419977,3,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"246010915489998","196516515020004","",2013,66,1,10,66084,1,246,1,335,6.1,1,1,7412,54,2.5,1,36,1,36,2,15,3,,,,0,,,,,,,3.2311,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,2.5,,,,,,,,,,,,,36,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,,1,,,,,,,,,,,"",,,,,,,,74.965282,,,,,,,14.638103,,3.204651,7.319052,1.602326,3,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"246010916489998","196516515020004","214682562020004",2013,66,1,10,66084,2,163,1,104,9.7,1,1,7377,53,5.4,1,37,1,37,2,20,5,,,0,4,2,0,0,,,,.0878,,3.00286,3.00286,,,,,3.00286,,,,,,,,,,0,,,20,,,,,,,,5.3,,,,,,,,,,,,,37,,,"",2014-09-26,"489998","",2015-01-13,"489998",,4.5,,,0,,5.2,,,,,,,,,,"",,,,,,1,,6.018046,,,,,,,,,,,,3,1,,,,0,60,,,,,,,,,,,,,,,,,,,5.2,11,11,5,,,
