"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"9187684010661","9187683010661",1986,10,1,1,12,1,1,,0,31,30,,,602,,,45,1,,5,,50,,0,,"",1,1,1,,5,5,29,1,1,,,,,,,,,,,,,,115.4659,,,,,"","","","","","","","",,,,3.664637,2.816757,44.902411,2.069017,.675984,.075109,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187722010661","9187721010661",1986,10,1,1,13,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187724010661","9187723010661",1986,10,1,1,14,1,1,,0,46,40,,,163,,,-999,1,,6,,50,,0,,"",1,1,1,,5,5,29,2,2,,,,,,,,,,,,,,100.2736,,,,,"","","","","","","","",,,,2.262359,6.155982,34.561515,1.153817,1.104446,.122716,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187777010661","9187776010661",1986,10,1,1,15,1,1,,0,46,40,,,505,,,65,1,,6,,50,,0,,"",1,1,1,,5,5,29,2,2,,,,,,,,,,,,,,76.285,,,,,"","","","","","","","",,,,2.108114,3.627571,23.676674,1.835509,.745983,.082887,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187818010661","9187817010661",1986,10,1,1,16,1,1,,0,46,40,,,506,,,45,1,,5,,50,,0,,"",1,1,1,,5,5,29,2,2,,,,,,,,,,,,,,83.5533,,,,,"","","","","","","","",,,,2.51095,2.816757,23.676674,1.94636,.741019,.082335,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187855010661","9187854010661",1986,10,1,1,17,1,1,,0,46,40,,,100,,,45,2,,6,,50,,0,,"",1,1,1,,5,5,29,2,2,,,,,,,,,,,,,,85.8817,,,,,"","","","","","","","",,,,2.456231,5.459767,34.851718,2.221911,.655331,.072815,"",2003-09-26,"10661","",2010-01-21,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187889010661","9187888010661",1986,10,1,1,18,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187891010661","9187890010661",1986,10,1,1,19,1,1,,0,46,40,,,100,,,65,2,,6,,50,,0,,"",1,1,1,,5,5,29,3,3,,,,,,,,,,,,,,50.683,,,,,"","","","","","","","",,,,1.158088,6.115436,34.851718,1.601315,.709613,.078846,"",2003-09-26,"10661","",2010-01-21,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187918010661","9187917010661",1986,10,1,1,20,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9187920010661","9187919010661",1986,10,1,1,21,1,1,,0,46,40,,,100,,,45,1,,6,,50,,0,,"",1,1,1,,5,5,29,1,1,,,,,,,,,,,,,,151.1162,,,,,"","","","","","","","",,,,4.151212,5.459767,34.851718,2.421483,.61076,.067862,"",2003-09-26,"10661","",2010-01-21,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
