"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"9683047010661","9683046010661",1987,34,1,1,19,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683049010661","9683048010661",1987,34,1,1,21,1,1,,0,46,40,,,167,,,25,2,,5,,50,,0,,"",1,1,1,,0,0,29,3,3,,,,,,,,,,,,,,80.8565,,,,,"","","","","","","","",,,,2.519509,4.523476,34.561515,.869164,1.268697,.140966,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683082010661","9683081010661",1987,34,1,1,22,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683084010661","9683083010661",1987,34,1,1,23,1,1,,0,46,40,,,708,,,65,2,,6,,50,,0,,"",1,1,1,,0,0,29,3,3,,,,,,,,,,,,,,72.9526,,,,,"","","","","","","","",,,,1.941244,3.627571,49.812922,2.0132,.709136,.078793,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683113010661","9683112010661",1987,34,1,1,25,1,1,,0,46,40,,,520,,,45,2,,6,,50,,0,,"",1,1,1,,0,0,29,2,2,,,,,,,,,,,,,,90.4697,,,,,"","","","","","","","",,,,2.502778,2.816757,23.676674,1.824955,.741155,.082351,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683145010661","9683144010661",1987,34,1,1,26,1,1,,0,46,40,,,520,,,65,2,,6,,50,,0,,"",1,1,1,,0,0,29,2,2,,,,,,,,,,,,,,91.6708,,,,,"","","","","","","","",,,,2.543605,3.627571,23.676674,1.908676,.738544,.08206,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683178010661","9683177010661",1987,34,1,1,27,1,1,,0,46,40,,,409,,,85,2,,6,,50,,0,,"",1,1,1,,0,0,29,3,3,,,,,,,,,,,,,,69.3054,,,,,"","","","","","","","",,,,1.172892,14.983047,29.840258,1.313178,1.191463,.132385,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683206010661","9683205010661",1987,34,1,1,29,1,1,,0,46,40,,,504,,,65,2,,6,,50,,0,,"",1,1,1,,0,0,29,1,1,,,,,,,,,,,,,,87.7742,,,,,"","","","","","","","",,,,2.331875,3.627571,23.676674,1.806608,.741975,.082442,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683232010661","9683231010661",1987,34,1,1,31,1,1,,0,46,40,,,520,,,65,2,,6,,50,,0,,"",1,1,1,,0,0,29,1,1,,,,,,,,,,,,,,78.8582,,,,,"","","","","","","","",,,,1.764946,3.627571,23.676674,1.679669,.753107,.083679,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9683257010661","9683256010661",1987,34,1,1,33,1,1,,0,46,40,,,409,,,65,2,,5,,50,,0,,"",1,1,1,,0,0,29,3,3,,,,,,,,,,,,,,87.7866,,,,,"","","","","","","","",,,,1.679076,13.048765,29.840258,1.351917,1.107721,.12308,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
